Metric,YOLO26 (yolo26n),RT-DETR (l.pt),YOLOv8 (yolov8n),YOLOv11 (yolo11n)
Precision (P),0.9395043516976364,0.9568225141101929,0.9196851092169519,0.92054396698934
Recall (R),0.9197959623018709,0.9197729360279284,0.8257982142237982,0.8249188480821449
mAP@50,0.9397940966111736,0.9458814818361172,0.8782049171194979,0.9011353579193809
mAP@50-95,0.892475866274623,0.9142091188456527,0.8054254136247769,0.8256604382453894
Latency (ms/img),4.635742140468259,23.509258193976667,7.2099665551841134,7.022339799324836
Parameters,2375421.0,31989905.0,3006233.0,2582737.0
FLOPs (GFLOPs),5.191526400000001,103.4418688,8.0873472,6.315161599999999
